;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
United Nations;;;;;;;;;;;;;;;;;;;;;;
Population Division;;;;;;;;;;;;;;;;;;;;;;
Department of Economic and Social Affairs;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
World Population Prospects: The 2015 Revision;;;;;;;;;;;;;;;;;;;;;;
File POP/5: Median age by major area, region and country, 1950-2100 (years);;;;;;;;;;;;;;;;;;;;;;
Medium fertility variant, 2015 - 2100;;;;;;;;;;;;;;;;;;;;;;
POP/DB/WPP/Rev.2015/POP/F05;;;;;;;;;;;;;;;;;;;;;;
July 2015 - Copyright © 2015 by United Nations. All rights reserved;;;;;;;;;;;;;;;;;;;;;;
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;Median age of the total population (years);;;;;;;;;;;;;;;;;
Index;Variant;Major area, region, country or area *;Notes;Country code;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
56;Medium variant;Namibia;;516;21.2;22.2;23.1;23.9;24.9;26.2;27.5;28.8;30.1;31.4;32.7;34.0;35.2;36.4;37.5;38.6;39.6;40.6
57;Medium variant;South Africa;;710;25.7;26.9;28.1;29.3;30.2;31.5;32.7;33.9;35.2;36.4;37.4;38.3;39.2;40.0;40.8;41.5;42.1;42.5
58;Medium variant;Swaziland;;748;20.5;21.2;21.8;22.6;23.6;24.8;26.2;27.5;28.9;30.3;31.7;33.0;34.3;35.6;36.8;37.9;38.9;39.8
59;Medium variant;Western Africa;3;914;18.0;18.2;18.8;19.4;20.1;20.9;21.7;22.6;23.5;24.4;25.4;26.5;27.5;28.6;29.6;30.6;31.7;32.7
60;Medium variant;Benin;;204;18.6;19.3;20.2;21.1;22.1;23.1;24.1;25.1;26.2;27.3;28.3;29.4;30.4;31.4;32.3;33.3;34.2;35.1
61;Medium variant;Burkina Faso;;854;17.0;17.6;18.3;19.1;19.9;20.7;21.7;22.7;23.7;24.7;25.8;27.0;28.0;29.1;30.2;31.3;32.4;33.5
62;Medium variant;Cabo Verde;;132;24.5;26.6;28.7;30.8;32.8;34.6;36.5;38.4;40.2;42.0;43.7;45.1;46.1;46.9;47.5;48.1;48.6;49.0
63;Medium variant;Côte d'Ivoire;;384;18.4;18.9;19.4;19.8;20.5;21.2;22.0;22.8;23.6;24.4;25.3;26.2;27.1;28.1;29.0;30.0;31.0;32.1
64;Medium variant;Gambia;;270;16.8;17.1;17.7;18.3;19.1;20.0;21.0;22.1;23.3;24.5;25.8;27.1;28.4;29.6;30.9;32.1;33.2;34.3
65;Medium variant;Ghana;;288;20.6;21.1;21.8;22.7;23.7;24.9;25.9;26.8;27.7;28.6;29.4;30.3;31.3;32.2;33.1;34.0;34.8;35.6
66;Medium variant;Guinea;;324;18.5;19.0;19.7;20.5;21.4;22.4;23.4;24.5;25.6;26.7;27.9;29.1;30.2;31.4;32.6;33.8;35.0;36.1
67;Medium variant;Guinea-Bissau;;624;19.4;19.9;20.6;21.4;22.4;23.4;24.4;25.4;26.4;27.4;28.3;29.3;30.3;31.3;32.2;33.1;34.0;34.8
